greenwich_date,jd_ephem,observer,clamp,limb,ra_h,ra_m,ra_s,ra_o_minus_c,ra_limb_corr,limb_side,dec_sign,dec_deg,dec_min,dec_sec,dec_o_minus_c,dec_limb_corr
1963 Mar. 8.15,38096.65932,B1,,1,9,41,43.407,+1.183,+.001,N,+,15,59,44.57,-5.85,+0.24
1963 Mar. 9.19,38097.69177,Pe,W,1,10,32,31.012,+1.097,-.004,N,+,12,26,56.23,-6.42,-0.36
1963 Mar. 10.22,38098.72270,Sc,W,2,11,21,06.850,+1.090,+.075,N,,,,,-7.41,-0.25
1963 Mar. 11.25,38099.75247,Ka,W,2,12,8,02.404,+1.015,+.056,,+,4,1,,,
1963 Mar. 14.33,38102.83949,Ka,W,2,14,25,31.632,+0.951,-.029,S,,,,,-5.38,-0.56
1963 Mar. 15.36,38103.86937,Sc,W,2,15,12,36.864,+1.085,-.023,,-,12,59,19.06,-5.19,-0.78
1963 Mar. 16.39,38104.90044,Pe,W,2,16,1,25.120,+1.089,-.035,S,-,16,19,59.29,-3.81,-0.18
1963 Mar. 18.46,38106.96735,Rh,W,2,17,45,55.002,+1.237,-.092,,-,20,46,,,
1963 Apr. 3.03,38122.53999,To,W,1,8,31,55.213,+1.278,+.066,,+,19,40,,,
1963 Apr. 4.07,38123.57456,Ka,W,1,9,25,46.804,+1.190,+.029,,+,17,6,,,
1963 Apr. 5.10,38124.60723,Sc,W,1,10,16,53.801,+1.149,+011,N,+,13,44,41.35,-5.75,-0.51
1963 Apr. 6.13,38125.63826,Ki,W,,11,5,38.872,+1.141,-.008,N,,,,,-7.02,-0.34
1963 Apr. 8.19,38127.69708,Ka,W,1,12,38,27.841,+1.017,-.006,N,+,1,2,12.25,-6.91,+0.25
1963 Apr. 10.25,38129.75477,To,W,2,14,9,38.539,+0.978,-.016,S,+,7,49,41.99,-6.50,+0.15
1963 Apr. 11.28,38130.78436,Sc,38130.78436 Sc W 2 14 56 18.441 W,,14,56,18.444,+1.069,-.002,,-,11,52,48.31,-5.23,-0.01
1963 Apr. 12.31,38131.81498,K1,,2,15,44,27.889,+1.063,-.023,S,-,15,27,27.55,-4.56,+0.69
1963 Apr. 13.34,38132.84693,Pe,W,2,16,34,32.429,+1.156,-.039,S,-,18,23,23.35,-3.60,-0.90
1963 Apr. 15.41,38134.91520,Sc,W,2,18,21,00.821,+1.278,-.089,N,-,21,38,11.88,-1.00,-0.25
1963 Jun. 1.02,38181.52902,To,W,1,12,8,41.038,+1.023,+.006,,,,,,,
1963 Jun. 5.14,38185.64524,Rh,W,1,15,12,16.922,+1.121,+.042,,-,13,9,39.15,-5.91,-0.41
1963 Jun. 7.20,38187.70928,,W,1,16,52,37.738,+1.190,-.131,N,-,19,25,25.69,-3.89,-0.18
1963 Jun. 12.38,38192.88830,Ka,W,2,21,30,50.618,+1.232,+.182,N,,,,,+4.88,+0.38
1963 Jul. 2.05,38212.55928,Rh,W,1,14,54,36.205,+1.090,+.065,N,,,,,-6.06,-0.37
1963 Jul. 5.15,38215.65608,Ga,W,1,17,26,12.545,+1.214,-.144,N,,,,,-3.10,-0.33
1963 Jul. 6.19,38216.69162,Rh,W,1,18,21,28.010,+1.248,-.096,N,-,21,56,33.65,-1.15,-0.15
1963 Jul. 8.26,38218.76543,To,W,2,20,15,55.997,+1.316,+.059,N,-,20,49,17.82,+2.22,+0.22
1963 Jul. 12.40,38222.90847,Ga,W,2,23,58,14.736,+1.204,+.026,,,,,,6.92,+0.79
1963 Aug. 2.10,38243.60186,Ga,E,1,17,58,18.387,+1.232,-.133,N,-,21,34,12.64,0.91,-0.02
1963 Aug. 3.13,38244.63822,K1,E,1,18,54,45.766,+1.343,+.006,S,-,22,7,56.18,-1.08,+0.36
1963 Aug. 5.21,38246.71321,Ka,E,1,20,50,55.005,+1.321,-.067,S,-,19,28,43.84,+3.46,+0.86
1963 Aug. 6.24,38247.75044,Ga,E,2,21,48,37.169,+1.208,+.149,N,-,16,18,10.28,+4.93,+0.46
1963 Aug. 8.32,38249.82251,Ga,E,2,23,40,34.449,+1.226,+.016,N,+,7,9,03.01,7.17,+0.66
1963 Aug. 9.28,38250.85759,KI,E,2,0,35,10.429,+1.271,+.005,N,-,1,44,49.91,+7.83,+0.42
1963 Aug. 11.42,38252.92817,To,E,2,2,24,58.443,+1.258,+.029,N,+,9,5,56.70,+6.66,+0.38
1963 Aug. 31.08,38272.58359,BI,E,1,19,26,15.804,+1.350,-.022,S,-,21,59,54.10,+1.89,+0.89
1963 Sep. 2.15,38274.65866,Rh,E,1,21,22,32.619,+1.332,-.027,S,-,17,54,20.72,+4.75,+0.32
1963 Sep. 7.34,38279.84126,Pe,E,2,2,5,55.017,+1.305,-.006,N,+,7,28,58.28,7.04,+0.25
1963 Sep. 8.37,38280.87834,Sc,E,2,3,3,24.614,+1.348,-.070,N,+,12,36,29.69,6.07,+0.07
1963 Sep. 9.41,38281.91647,KI,E,2,4,2,24.800,+1.403,+.010,,+,16,54,,,
1963 Sep. 25.95,38298.45695,Rh,W,1,18,5,54.335,+1.263,-.090,,-,22,3,,,
1963 Sep. 26.99,38299.49236,KI,W,,19,0,59.147,+1.298,+.010,,-,22,25,,,
1963 Sep. 28.02,38300.52874,To,W,1,19,57,27.286,+1.268,-.058,,-,21,35,,,
1963 Oct. 1.13,38303.63935,Ga,W,1,22,49,00.136,+1.307,+.027,,-,11,49,,,
1963 Oct. 2.17,38304.67595,KI,W,1,23,45,47.795,+1.385,-.026,,-,6,34,,,
1963 Oct. 3.21,38305.71261,Ga,W,2,0,42,40.316,+1.253,+.022,,,,,,,
1963 Oct. 4.24,38306.74972,To,W,2,1,40,11.925,+1.290,-.001,,+,5,5,48.28,+7.07,+0.57
1963 Oct. 5.28,38307.78770,K1,W,2,2,38,58.469,+1.416,+.038,N,+,10,42,10.92,+6.48,-0.01
1963 Oct. 6.32,38308.82681,Sc,W,2,3,39,23.482,+1.432,-.023,N,+,15,34,33.37,+5.92,+0.49
1963 Oct. 7.36,38309.86702,To,W,2,4,41,23.660,+1.425,-.052,N,+,19,19,59.70,+4.48,+0.10
1963 Oct. 8.40,38310.90786,Pe,W,2,5,44,19.123,+1.457,+.014,,+,21,41,,,
1963 Oct. 9.44,38311.94852,Ga,W,2,6,46,58.204,+1.448,+.035,S,+,22,33,05.48,+2.04,+0.75
1963 Oct. 24.93,38327.43929,Rh,,1,19,34,44.783,+1.334,-.014,S,-,22,20,41.29,+1.83,+0.52
1963 Oct. 27.01,38329.51085,Sc,E,1,21,25,57.902,+1.270,-.019,S,-,18,5,41.94,+5.12,+0.90
1963 Oct. 28.04,38330.54659,To,E,1,22,21,30.173,+1.359,+.027,S,-,14,16,25.73,+6.91,+0.69
1963 Oct. 29.08,38331.58226,KI,E,1,23,16,57.248,+1.281,+.025,S,+,9,29,52.51,+7.12,+0.36
1963 Oct. 31.15,38333.65468,B1,E,1,1,9,24.795,+1.334,+.005,,+,1,55,12.64,+8.10,+0.53
1963 Nov. 3.27,38336.77266,Sc,,,,,,,,N,+,17,51,48.46,+4.93,+0.30
1963 Nov. 4.31,38337.81494,To,,,5,16,35.206,+1.506,+.014,N,+,21,3,08.57,+3.20,-0.06
1963 Nov. 24.99,38358.49222,Ga,W,,22,53,23.224,+1.192,+.031,S,-,11,51,21.42,+6.60,+0.46
1963 Nov. 26.02,38359.52654,KI,W,1,23,46,53.429,+1.283,+.021,,-,6,48,30.90,+7.79,+0.41
1963 Nov. 28.09,38361.59717,To,,,1,36,45.713,+1.301,+.025,S,+,4,38,14.00,+7.39,+0.70
1963 Dec. 2.25,38365.76017,KI,,,,,,,,S,+,22,7,33.68,+2.30,+1.36
1963 Dec. 4.34,38367.84627,To,W,2,8,0,06.370,+1.437,+.008,S,,,,,-3.61,+0.44
1963 Dec. 6.42,38369.92260,To,W,2,9,58,12.612,+1.183,+.061,S,+,16,18,24.34,-6.00,+2.16
1963 Dec. 7.45,38370.95634,Po,W,,10,50,51.442,+1.143,+.073,S,+,12,8,38.68,-7.86,+0.97
1963 Dec. 8.48,38371.98774,Sc,W,2,11,40,08.744,+1.088,+.088,S,+,7,32,39.75,-6.87,+1.48
1963 Dec. 22.93,38386.43984,Sc,E,1,23,28,09.324,+1.257,+.020,S,-,8,46,30.31,+7.29,+0.38
1963 Dec. 27.07,38390.57940,Rh,E,1,3,5,26.585,+1.362,-.055,S,+,12,59,20.87,5.37,+1.16
1963 Dec. 28.11,38391.61904,To,,,4,4,06,,,S,+,17,33,14.68,+4.70,+0.22
1963 Dec. 29.16,38392.66111,KI,E,1,5,11,18.542,+1.520,-.168,S,+,20,55,44.73,3.45,+2.92
1963 Dec. 31.24,38394.74852,Ka,,2,7,25,24.968,+1.589,+.051,,+,22,46,,,
1964 Jan. 5.43,38399.93102,Sc,E,2,12,8,38.213,+1.123,+.092,S,+,4,43,44.52,-6.80,+1.37
1964 Jan. 6.46,38400.96080,To,E,2,12,55,34.443,+1.012,+.080,S,-,0,12,18.94,-7.11,+0.79
1964 Jan. 21.95,38416.45549,Ga,W,1,1,49,01.853,+1.254,-.003,S,+,5,50,01.69,+7.15,+0.65
1964 Jan. 22.99,38417.49068,BI,W,1,2,43,46.899,+1332,-.022,,+,11,7,43.05,+7.31,+0.96
1964 Jan. 26.10,38420.60891,Ka,W,1,5,46,19.647,+1.454,-.161,S,+,22,6,24.78,+1.32,+1.01
1964 Jan. 27.15,38421.65165,KI,W,1,6,51,59.014,+1.565,+.003,N,+,22,58,53.75,-0.65,+0.11
1964 Jan. 31.30,38425.80848,To,W,2,10,54,12.229,+1.233,+.097,S,+,11,51,33.32,7.40,+0.99
1964 Feb. 3.40,38428.90250,Ka,,2,13,21,47.459,+1.101,+.075,S,-,3,4,22.05,-7.20,+1.67
1964 Feb. 4.43,38429.93198,To,W,2,14,8,18.166,+0.982,+.010,S,-,7,49,55.83,-8.24,+0.72
1964 Feb. 5.46,38430.96164,Sc,W,2,14,55,04.082,+1.080,.000,S,-,12,11,53.71,-5.57,+0.01
1964 Feb. 20.97,38446.47967,BI,E,1,4,22,13.181,+1.415,-.035,S,+,18,42,06.11,+4.60,+0.53
1964 Feb. 22.01,38447.51955,Pe,E,1,5,23,44.627,+1.466,-.172,S,+,21,33,34.87,+1.55,+1.55
1964 Feb. 23.06,38448.56070,Sc,E,1,6,27,06.518,+1.547,-.034,N,+,22,57,57.99,-0.06,
1964 Feb. 24.10,38449.60209,To,,,7,30,49.348,+1.462,+.073,N,+,22,47,12.88,2.48,-0.16
1964 Feb. 25.14,38450.64253,KI,E,1,8,33,09.029,+1.497,+.079,,+,21,4,00.56,-4.26,+0.10
1964 Feb. 26.18,38451.68105,Ka,E,1,9,32,43.135,+1341,+.024,N,+,18,1,04.16,-6.07,-0.95
1964 Feb. 27.21,38452.71724,KI,E,1,10,28,54.408,+1.263,+.013,,,,,,-6.61,-0.83
1964 Mar. 1.31,38455.81390,To,E,2,13,0,18.350,+1.129,+.087,S,-,0,58,12.76,-7.05,+1.01
1964 Mar. 2.34,38456.84391,Sc,E,2,13,47,35.490,+1.091,+.022,S,-,5,56,49.16,-6.93,+1.92
1964 Mar. 6.46,38460.96766,KI,E,2,17,2,02.667,+1.147,-.059,S,-,20,50,26.87,-3.79,+0.22
1964 Mar. 24.09,38478.59327,K1,W,1,9,12,24.733,+1.400,+.018,,,,,,-5.55,-0.98
1964 Mar. 25.12,38479.62940,Ga,W,1,10,8,31.391,+1.296,+.019,N,+,15,39,07.74,-6.83,-1.35
1964 Mar. 27.19,38481.69552,Rh,W,1,11,51,52.690,+1.169,+.002,N,+,6,13,43.17,-8.21,-0.04
1964 Mar. 29.25,38483.75649,Sc,W,2,13,27,48.063,+1.111,+.047,S,-,4,1,14.74,7.41,+1.66
1964 Mar. 31.31,38485.81667,Rh,W,2,15,2,34.732,+1.104,-.011,S,-,13,17,07.82,-5.76,-0.53
1964 Apr. 2.37,38487.87958,To,,2,16,41,18.348,+1.149,+.005,S,-,20,7,37.75,4.24,-0.34
1964 Apr. 4.44,38489.94670,Pe,W,2,18,26,06.537,+1.207,-.097,N,-,23,20,16.68,-0.41,+0.33
1964 Apr. 23.11,38508.61063,BI,,1,11,35,45.262,+1.106,-.005,N,,,,,8.90,-0.18
1964 Apr. 25.17,38510.67115,Pe,,1,13,11,01.947,+1.105,+.023,N,-,2,12,13.69,-7.37,-0.96
1964 Apr. 26.20,38511.70076,Sc,E,1,13,57,43.254,+1.144,+022,N,,,,,-7.04,-0.96
1964 Apr. 27.23,38512.73064,Ka,E,2,14,44,49.100,+1.088,+.005,N,-,11,47,34.79,-5.52,-0.39
1964 May. 20.02,38535.52665,Sc,,1,11,20,56.861,+1.148,-013,N,+,9,39,49.26,-6.48,-0.27
1964 May. 21.05,38536.55764,B1,W,1,12,9,38.288,+1.078,-.011,N,,,,,-8.80,-0.22
1964 May. 22.08,38537.58745,Ga,W,1,12,56,37.096,+1.135,+.027,N,-,0,30,31.49,-7.47,-0.51
1964 May. 23.11,38538.61676,Pe,,1,13,42,53.374,+1.095,+.045,N,-,5,32,21.77,-7.61,-0.71
1964 May. 24.14,38539.64621,Sc,W,1,14,29,20.985,+1.064,+016,N,-,10,17,15.99,-6.85,-0.90
1964 May. 26.20,38541.70740,Pe,W,1,16,5,35.861,+1.145,+.102,N,-,18,14,15.27,-4.87,+0.03
1964 May. 27.23,38542.73970,Sc,W,2,16,56,10.154,+1.151,-.056,S,-,21,5,23.64,-3.48,-0.12
1964 May. 28.27,38543.77312,Pe,W,2,17,48,22.022,+1.220,-.029,,-,22,58,42.02,1.58,+0.33
1964 May. 30.34,38545.84194,Ga,W,2,19,35,37.770,+1.247,-006,N,-,23,25,40.07,2.04,+0.54
1964 Jun. 20.06,38566.56224,BI,E,1,14,14,33.086,+1.078,+.031,N,-,8,45,40.41,-7.23,-1.06
1964 Jun. 22.12,38568.62260,Ga,,1,15,49,35.355,+1.091,+.015,N,-,17,6,03.96,4.76,-0.10
1964 Jun. 23.15,38569.65441,Pe,E,1,16,39,27.887,+1.143,-.003,N,-,20,14,23.66,-3.65,+0.03
1964 Jun. 26.25,38572.75625,BI,E,2,19,18,20.913,+1.237,-.040,,-,23,40,,,
1964 Jun. 27.29,38573.79092,To,E,2,20,12,21.532,+1.341,+.051,N,-,22,32,16.65,+2.63,+0.07
1964 Jun. 28.32,38574.82507,Sc,E,2,21,5,36.635,+1.246,+.140,N,-,20,15,59.76,+4.70,+0.22
1964 Jun. 29.35,38575.85840,To,E,2,21,57,40.835,+1.145,+.177,N,-,16,58,41.33,+4.38,+0.46
1964 Jun. 30.39,38576.89092,Ga,E,2,22,48,34.401,+1.188,+.154,N,-,12,49,22.72,6.21,+0.40
1964 Jul. 20.06,38596.56872,To,W,1,16,22,11.213,+1.016,-.078,N,-,19,17,18.34,4.73,-0.18
1964 Jul. 21.10,38597.60136,K1,W,1,17,13,15.446,+1.202,-.064,N,-,21,50,18.21,-2.60,+0.52
1964 Jul. 27.30,38603.80634,To,W,,22,32,54.287,+1.137,+.135,N,-,14,7,19.66,6.18,+0.43
1964 Jul. 29.37,38605.87038,KI,,,,,,,,N,,,,,7.54,+0.57
1964 Aug. 18.04,38625.54765,Rh,E,1,17,46,05.923,+1.189,-.157,N,-,23,2,53.78,-1.75,+0.35
1964 Aug. 19.08,38626.58203,KI,E,1,18,39,41.611,+1.222,-.079,,-,23,52,22.28,-1.71,+0.10
1964 Aug. 20.11,38627.61697,Rh,E,1,19,34,05.066,+1.289,-.053,S,-,23,31,11.85,+1.36,+0.39
1964 Aug. 22.18,38629.68641,K1,E,1,21,22,14.475,+1.248,-.044,,-,19,16,25.00,4.79,+0.70
1964 Aug. 23.22,38630.72014,Se,E,2,22,14,52.485,+1.226,+.123,S,-,15,33,27.05,6.12,+0.69
1964 Aug. 26.31,38633.81773,To,E,2,0,47,37.279,+1.140,+.114,N,-,0,17,07.65,+8.35,+0.48
1964 Sep. 16.02,38654.52791,Rh,W,1,19,11,56.348,+1.307,-.031,S,-,24,0,18.10,-0.03,+0.54
1964 Sep. 17.06,38655.56276,Rh,W,1,20,6,11.838,+1.256,-.095,S,-,22,54,56.10,+2.78,+0.74
1964 Sep. 18.09,38656.59736,K1,W,1,21,0,06.473,+1.260,-.068,S,-,20,39,01.12,+3.95,+0.45
1964 Sep. 22.23,38660.73064,Ga,W,2,0,28,19.106,+1.196,+.082,S,-,2,20,02.38,8.52,+0.18
1964 Sep. 24.29,38662.79816,Rh,W,2,2,13,42.372,+1.264,+.117,N,,,,,+7.59,+0.59
1964 Sep. 25.33,38663.83403,KI,W,2,3,9,26.374,+1.346,+.072,N,+,14,28,49.46,6.99,+0.16
1964 Sep. 27.41,38665.91182,Sc,W,2,5,9,38.938,+1.502,-.045,,+,22,11,,,
1964 Oct. 12.93,38681.43877,Ad,E,1,18,49,40.402,+1.335,-.035,S,-,24,21,56.22,+0.72,+0.15
1964 Oct. 13.97,38682.47333,Pe,E,1,19,43,31.251,+1.269,-.060,S,-,23,46,08.29,+2.39,+0.72
1964 Oct. 15.00,38683.50768,Sc,E,1,20,37,03.503,+1.336,-.046,S,-,21,59,54.15,+3.10,+0.90
1964 Oct. 19.14,38687.64044,To,E,1,0,4,31.312,+1.200,+.001,S,-,5,2,02.98,7.68,+0.26
1964 Oct. 21.20,38689.70802,P.,,2,1,49,59.796,+1.294,+.148,S,+,6,46,45.31,+7.83,+0.77
1964 Oct. 23.28,38691.78229,Rh,,2,3,45,07.579,+1.430,-.022,N,+,17,30,31.24,+6.11,+0.73
1964 Oct. 24.32,38692.82279,To,E,2,4,47,32.594,+1.488,-.074,N,+,21,24,19.19,+3.69,+0.28
1964 Oct. 25.36,38693.86503,Sc,E,2,5,52,29.035,+1.619,+001,N,+,23,47,45.64,+1.63,+0.37
1964 Oct. 27.44,38695.94984,Ga,E,2,8,2,49.552,+1.460,.000,S,+,23,22,12.05,-3.50,+1.26
1964 Oct. 28.48,38696.98978,Sc,E,2,9,4,26.391,+1.381,+.015,S,+,20,44,30.47,-5.86,-1.36
1964 Nov. 10.91,38710.41917,Ga,W,1,20,15,42.318,+1.250,-.079,,-,23,3,22.88,+2.34,+1.16
1964 Nov. 11.95,38711.45271,Ga,W,1,21,8,04.852,+1.233,-.054,,-,20,38,59.70,+3.68,+0.80
1964 Nov. 14.01,38713.51770,Pe,W,1,22,49,48.071,+1.148,+.026,,-,12,55,03.24,+5.99,+0.58
1964 Nov. 15.04,38714.54965,Sc,W,1,23,39,52.654,+1.151,+.026,S,-,7,52,05.65,+7.31,+0.36
1964 Nov. 16.08,38715.58192,To,,,0,0,30,,,,-,2,15,49.31,+9.30,+0.53
1964 Nov. 18.15,38717.65023,Ad,W,1,2,16,56.547,+1.360,-.053,S,+,9,35,19.62,8.49,+0.79
1964 Nov. 22.31,38721.81554,Sc,W,2,6,31,24.807,+1.680,-.007,,+,24,31,46.99,-0.26,+0.02
1964 Nov. 23.35,38722.85974,To,W,2,7,39,10.423,+1.481,+.030,S,+,24,6,59.25,-3.22,+0.38
1964 Nov. 24.40,38723.90194,Pe,W,2,8,44,03.224,+1.495,+.018,S,+,21,56,44.17,-6.25,-0.44
1964 Dec. 12.99,38742.49242,Sc,E,1,1,7,38.410,+1.198,+.027,S,-,4,54,41.39,8.06,+0.45
1964 Dec. 15.05,38744.55694,Pe,E,1,2,48,41.317,+1.237,-.003,S,+,6,31,41.62,8.37,+0.92
1964 Dec. 16.09,38745.59216,Ga,E,1,2,43,28.814,+1.373,-.058,S,+,12,12,14.83,+7.31,+1.04
1964 Dec. 17.13,38746.63039,Ad,E,1,3,42,38.094,+1.467,-.074,S,+,17,20,31.61,+5.60,+0.92
1964 Dec. 19.21,38748.71652,Rh,E,2,5,54,52.801,+1.693,-.013,N,,,,,1.75,+0.47
1964 Dec. 23.38,38752.88872,Rt,E,2,10,19,17.526,+1.341,+.074,,+,15,43,00.62,-6.79,+2.03
1965 Jan. 12.00,38772.50098,Sc,W,1,2,18,16.665,+1.296,-.054,S,+,9,45,27.47,7.27,+0.91
1965 Jan. 13.03,38773.53626,KI,W,1,3,13,09.635,+1.410,-.083,S,+,14,59,48.36,6.67,+1.04
1965 Jan. 15.11,38775.61670,Rh,W,1,5,17,11.907,+1.578,-.138,S,+,22,50,35.23,+2.39,+1.27
1965 Jan. 21.36,38781.86792,To,W,2,11,43,35.969,+1.264,+.084,,+,7,25,28.83,8.19,+1.19
1965 Jan. 22.40,38782.90100,Rh,W,2,12,35,18.143,+1.203,+.067,S,+,1,38,12.64,9.42,+0.95
1965 Feb. 14.15,38805.65334,Sc,E,1,8,8,23.380,+1.692,-.011,N,+,23,23,25.54,-4.73,-0.23
1965 Feb. 16.23,38807.73675,Rh,E,2,10,16,42.090,+1.445,+.063,N,+,15,46,18.26,-8.82,-1.22
1965 Feb. 20.37,38811.87464,To,E,2,13,51,34.447,+1.235,+085,S,-,7,14,17.12,-9.03,+2.29
1965 Feb. 23.47,38814.97096,Sc,E,2,16,22,29.249,+1.246,+.039,S,-,20,25,39.75,-4.90,-1.01
1965 Mar. 10.97,38830.47553,Rh,W,1,5,30,12.336,+1.527,-.150,S,+,23,42,42.52,+1.54,-0.25
1965 Mar. 12.01,38831.51756,To,W,1,6,34,49.745,+1.583,-.149,N,+,24,54,44.43,-0.55,+0.15
1965 Mar. 13.06,38832.56041,Ga,,1,7,40,39.269,+1.567,+.040,N,+,24,20,31.81,-2.98,-0.21
1965 Mar. 14.10,38833.60262,Sc,,1,9,45,32.446,+1.467,+.064,N,+,22,0,29.23,-4.94,-0.34
1965 Mar. 15.14,38834.64300,Ki,W,1,9,47,46.915,+1.408,+.028,N,+,18,8,11.91,-6.82,-0.74
1965 Mar. 16.18,38835.68101,To,W,1,10,46,36.993,+1.278,+.020,N,+,13,6,27.19,-7.82,-0.46
1965 Apr. 11.05,38861.55439,Sc,E,,9,26,16.972,+1.486,+040,N,+,19,50,41.98,-6.34,-0.92
1965 Apr. 13.12,38863.62757,Rh,E,1,11,19,50.538,+1.241,-.001,N,+,9,52,02.52,-8.18,+0.17
1965 Apr. 14.16,38864.66133,Ga,E,1,12,12,32.042,+1.235,+.008,,+,3,59,00.59,9.66,-0.05
1965 Apr. 15.19,38865.69401,Gv,E,1,13,3,39.555,+1.228,+.026,N,-,2,0,54.10,-9.75,-1.28
1965 Apr. 18.29,38868.79171,Sc,E,2,15,36,33.552,+1.274,+.024,S,-,17,40,49.23,-6.05,+0.81
1965 Apr. 21.39,38871.89517,KI,E,2,18,17,46.972,+1.286,-.032,N,-,25,6,34.56,-0.50,-0.02
1965 May. 10.04,38890.54206,To,E,1,11,2,49.358,+1.300,11 02 49358 +1300 +016  +11 46 54.87 +.016,,,,,,-8.23,-0.10
1965 May. 13.13,38893.63937,Sc,,1,13,35,09.456,+1.194,+.041,N,-,5,37,10.34,-7.49,-0.62
1965 May. 14.17,38894.67108,To,,,14,24,52.614,+1.198,+.013,N,-,11,5,15.10,-8.01,-0.41
1965 May. 15.20,38895.70342,Gv,E,1,15,15,31.311,+1.306,+.082,N,-,15,57,19.98,-7.15,+0.03
1965 May. 16.23,38896.73673,Sc,E,2,16,7,33.667,+1.333,+.049,S,-,19,59,34.90,-5.37,-1.57
1965 May. 18.30,38898.80611,Gv,E,2,17,55,37.637,+1.308,-.005,S,-,24,49,34.87,-2.24,+0.35
1965 May. 19.34,38899.84138,Ga,E,2,18,50,29.970,+1.400,-.022,N,-,25,23,33.17,+1.00,+0.08
1965 May. 20.37,38900.87622,Sc,E,2,19,44,45.370,+1.246,-.007,,-,24,42,,,
1965 Jun. 8.02,38919.52364,KI,W,1,12,30,32.879,+1.214,+.018,N,+,2,1,33.73,-8.69,-0.43
1965 Jun. 13.18,38924.68389,Sc,W,1,16,41,39.185,+1.143,-.015,N,-,22,2,23.45,-1.33,-0.03
1965 Jun. 14.21,38925.71851,To,W,2,17,35,35.928,+1.319,-.014,S,-,24,17,58.51,-3.53,+0.47
1965 Jun. 15.25,38926.75370,Gv,W,2,18,30,20.878,+1.320,-.025,S,-,25,19,53.04,0.73,+1.81
1965 Jul. 9.06,38950.56545,Rh,E,1,15,33,08.394,+1.172,+.063,N,-,17,28,35.68,-5.58,+0.36
1965 Jul. 13.20,38954.70243,He,E,1,19,6,42.611,+1.347,-.042,S,-,25,17,37.58,+1.16,+0.72
1965 Jul. 14.23,38955.73701,To,,,20,20,00,,,S,-,24,13,13.69,+2.34,+0.96
1965 Jul. 16.30,38957.80267,To,E,2,21,43,16.207,+1.211,+.085,N,-,18,46,38.75,+5.78,+0.69
1965 Aug. 6.01,38978.51310,Ga,W,1,16,7,56.938,+1.293,+.042,N,-,20,12,42.70,-4.87,+0.48
1965 Aug. 7.04,38979.54696,Rh,W,1,17,0,47.200,+1.298,+.037,N,,,,,-2.60,+0.79
1965 Aug. 8.08,38980.58158,Ho,W,1,17,54,43.250,+1.227,-.012,,-,24,54,,,
1965 Aug. 10.15,38982.65127,KI,W,1,19,43,13.893,+1.283,-.102,,-,24,44,00.71,+1.11,+0.72
1965 Aug. 11.18,38983.68515,Gv,W,1,20,36,05.365,+1.252,-.025,S,-,22,49,55.32,+3.86,+0.86
1965 Aug. 12.21,38984.71778,Ga,W,2,21,27,09.195,+1.187,+.066,S,-,19,52,19.53,+5.00,+0.80
1965 Aug. 13.24,38985.74906,Gv,W,2,22,16,15.414,+1.180,+.067,S,-,16,1,22.25,+5.66,+0.71
1965 Aug. 15.30,38987.80842,Ho,W,2,23,49,51.387,+1.098,+.085,,,,,,,
1965 Sep. 3.99,39007.49478,Du,E,,17,35,50.068,+1.230,+.038,,-,24,39,,,
1965 Sep. 7.09,39010.59913,Sv,,1,20,18,20.102,+1.267,-.054,S,-,23,43,46.40,+2.80,+1.21
1965 Sep. 10.19,39013.69455,Du,E,1,22,47,56.416,+1.168,-.010,S,-,13,2,20.97,6.94,+0.43
1965 Sep. 11.22,39014.72423,KI,E,2,23,34,44.647,+1.083,+.042,S,-,8,2,24.74,+7.43,+0.06
1965 Sep. 16.37,39019.87936,Gv,E,2,3,38,26.863,+1.234,-.100,N,+,18,29,27.87,+5.54,+1.01
1965 Oct. 2.97,39036.47697,To,W,1,19,4,26.997,+1.275,-.037,S,-,25,47,19.18,2.04,+0.82
1965 Oct. 4.01,39037.51174,Gv,W,1,19,58,35.330,+1.118,-.110,,-,24,39,52.41,+2.03,+1.03
1965 Oct. 6.07,39039.57753,KI,W,1,21,41,28.307,+1.143,-.019,,-,19,3,34.14,6.44,+0.70
1965 Oct. 7.10,39040.60847,Rh,W,1,22,30,06.142,+1.250,+.014,S,-,14,53,24.10,6.75,+0.64
1965 Oct. 9.16,39042.66798,Rh,W,1,0,3,54.827,+1.125,-.008,S,,,,,7.80,+0.11
1965 Oct. 15.36,39048.86923,Du,W,2,5,18,09.576,+1.421,-.104,N,+,24,26,50.10,+1.61,-0.36
1965 Oct. 30.92,39064.42275,Rh,W,1,19,36,33.504,+1323,-.088,S,,,,,+1.91,+0.55
1965 Nov. 1.98,39066.48984,Sv,W,1,21,21,18.418,+1.202,-.005,,-,20,41,12.41,+4.39,+0.87
1965 Nov. 3.02,39067.52112,Rh,W,1,22,10,25.173,+1.105,-.001,,-,16,50,48.91,+5.99,+0.69
1965 Nov. 4.05,39068.55123,Du,W,1,22,57,50.537,+1.145,+.003,,-,12,15,53.99,+7.01,+0.40
1965 Nov. 5.08,39069.58067,Sv,W,1,23,44,17.614,+1.070,-.009,S,+,7,6,28.01,+6.36,+0.09
1965 Nov. 6.11,39070.61006,Rh,W,1,0,30,40.474,+1.119,+.001,S,+,1,32,49.07,+7.79,+0.29
1965 Nov. 7.14,39071.64011,Sv,W,1,1,17,59.729,+1.140,+.029,S,+,4,13,14.15,+8.32,+0.58
