greenwich_date,jd_ephem,observer,clamp,limb,ra_h,ra_m,ra_s,ra_o_minus_c,ra_limb_corr,limb_side,dec_sign,dec_deg,dec_min,dec_sec,dec_o_minus_c,dec_limb_corr
1967 Nov. 7.93,39802.43223,Du,W,1,20,19,53.332,+1.536,-.006,,-,24,58,18.57,+4.16,+1.29
1967 Nov. 8.96,39803.46850,KI,W,1,21,16,11.577,+1.342,-.029,,-,21,9,12.99,5.95,+0.37
1967 Nov. 10.00,39804.50138,Cr,W,1,22,7,36.684,+1.252,-.026,,-,16,24,48.39,+16.48,+0.27
1967 Nov. 11.03,39805.53156,To,W,1,22,55,08.206,+1.147,-.029,,-,11,5,09.52,+8.95,+0.27
1967 Nov. 13.08,39807.58724,Ga,W,1,0,23,25.094,+1.027,-.002,,+,0,20,41.08,+7.61,+0.61
1967 Nov. 16.17,39810.67106,Du,W,1,2,36,16.075,+1.210,-.002,,+,16,37,,,
1967 Nov. 19.26,39813.76961,Ga,W,2,5,10,24.546,+1.351,-.078,N,+,27,2,29.79,+1.84,+0.09
1967 Nov. 24.45,39818.95206,Cr,W,2,,,,+1.334,+.012,S,+,17,44,11.55,-6.10,-0.66
1967 Dec. 7.94,39832.44537,3983244537 To E 1 To,E1,,22,37,07.965,+1.203,-.030,S,-,13,1,33.67,+8.62,+0.16
1967 Dec. 13.08,39837.58590,Du,E,,2,19,45.413,+1.182,+.002,S,+,14,58,21.99,+7.03,-0.38
1967 Dec. 14.11,39838.61598,To,E,,3,7,07.889,+1.226,-.068,S,+,19,37,37.86,+5.66,+1.21
1967 Dec. 16.18,39840.68272,To,E,,4,51,23.292,+1.447,-.019,N,+,26,19,30.65,3.16,+0.16
1967 Dec. 17.21,39841.71925,Cr,E 2,,5,48,05.183,+1.421,-.061,,+,27,51,,,
1967 Dec. 20.33,39844.83162,To,E2,,8,42,10.008,+1.448,-.013,S,,,,,-6.17,-0.60
1967 Dec. 21.36,39845.86690,Du,,,9,9,37,,,,+,19,4,39.16,-7.19,-0.57
1968 Jan. 16.24,39871.74391,,,,,,,,,N,+,24,31,13.43,-4.89,+0.22
1968 Jan. 17.28,39872.78043,Ga,E 2,,9,18,39.102,+1370,-.030,S,+,20,30,57.94,-6.17,-0.54
1968 Jan. 18.31,39873.81524,KI,,2,10,12,51.225,+1.374,-.019,S,+,15,20,30.10,-8.36,+0.67
1968 Jan. 19.34,39874.84855,Cr,E,2,11,4,53.106,+1.221,-.006,S,+,9,18,41.66,-9.48,+1.42
1968 Jan. 22.44,39877.94660,,,,13,38,18.228,+1.352,-.029,,-,10,37,41.70,-9.20,+1.54
1968 Feb. 5.94,39892.44163,Du,W,1,2,28,17.039,+1.251,+.001,S,+,16,24,24.06,+6.51,-0.26
1968 Feb. 9.03,39895.53933,Rh,W,1,5,1,11.700,+1.424,-.039,,+,26,59,,,
1968 Feb. 11.11,39897.61422,Du,W,1,6,57,12.707,+1.446,-.125,N,+,27,50,45.55,-2.34,-0.46
1968 Feb. 12.15,39898.65255,Rh,,1,7,56,30.228,+1.559,+.035,N,+,25,53,53.93,-5.04,-0.29
1968 Feb. 13.19,39899.69009,KI,W,1,8,54,38.956,+1.456,+.013,N,+,22,23,54.96,-6.77,-0.70
1968 Feb. 14.22,39900.72622,Cr,W,2,9,50,45.364,+1.391,-.024,N,+,17,32,40.22,8.21,-0.36
1968 Feb. 15.26,39901.76086,K1,W,,10,44,42.959,+1.320,-.013,N,+,11,38,01.53,-9.89,+1.28
1968 Feb. 17.32,39903.82756,Du,W,2,12,28,55.215,+1.354,-.001,S,,,,,-10.27,+2.35
1968 Feb. 18.36,39904.86119,To,W,2,13,21,25.262,+1.413,-.013,,-,8,47,57.40,-10.64,+1.86
1968 Feb. 19.39,39905.89618,Rh,W,2,14,15,52.997,+1.504,-.030,S,-,15,13,00.11,-10.29,+0.84
1968 Mar. 7.98,39923.48502,Rh,E,1,5,33,09.412,+1.436,-.115,,,,,,,
1968 Mar. 10.05,39925.55983,Cr,,1,7,29,04.044,+1.554,+.040,N,+,27,8,52.41,-4.25,-0.13
1968 Mar. 12.13,39927.63390,KI,E,1,9,23,54.604,+1.540,+.102,N,,,,,-8.54,-0.72
1968 Mar. 14.20,39929.70366,Rh,E,1,11,12,31.512,+1.363,-.009,N,,,,,-11.25,-0.70
1968 Apr. 11.14,39957.64493,KI,,1,11,38,06.624,+1.431,-.014,,+,4,52,,,
1968 Apr. 12.17,39958.67906,Rh,W,1,12,31,19.825,+1.399,-.010,,+,2,18,,,
1968 Apr. 13.21,39959.71443,Rh,W,2,13,26,20.685,+1.405,-.031,S,-,9,32,28.67,-10.69,+1.98
1968 Apr. 14.25,39960.75191,Ga,W,2,14,24,24.977,+1.518,-.036,,-,16,17,09.66,9.44,+0.97
1968 Apr. 16.33,39962.83493,Cr,W,2,16,32,11.055,+1.751,-.008,,-,26,6,27.82,-6.23,+0.27
1968 Apr. 17.37,39963.87932,,W,2,17,40,13.246,+1.835,+.007,,-,28,14,,,
1968 Apr. 19.46,39965.96517,K1,,2,19,52,04.036,+1.560,-.043,N,-,26,17,48.33,+3.42,+0.88
1968 May. 7.02,39983.52083,Ga,E,1,10,21,25.286,+1.267,-.003,,+,14,19,,,
