greenwich_date,jd_ephem,observer,clamp,ra_h,ra_m,ra_s,ra_o_minus_c,dec_sign,dec_deg,dec_min,dec_sec,dec_o_minus_c,distance_au
1966 Oct. 13.70,39412.20455,Gv,W,13,13,29.922,+0.086,-,7,47,04.33,-0.47,0.997584
1966 Oct. 21.70,39420.20344,To,W,13,43,25.457,+0.100,-,10,42,35.18,+1.14,0.995302
1966 Oct. 26.70,39425.20297,Gv,W,14,2,28.052,+0.064,-,12,27,18.21,+0.20,0.993910
1966 Oct. 27.70,39426.20290,Cr,W,14,6,18.540,-0.076,-,12,47,41.90,-0.25,0.993639
1966 Oct. 28.70,39427.20284,To,W,14,10,10.035,+0.050,-,13,7,53.28,-0.45,0.993371
1966 Oct. 31.70,39430.20272,Ga,W,14,21,48.792,+0.073,-,14,7,10.85,+0.26,0.992587
1966 Nov. 1.70,39431.20269,To,W,14,25,43.207,-0.009,-,14,26,30.73,+0.11,0.992332
1966 Nov. 3.70,39433.20267,Gy,W,14,33,34.823,+0.173,-,15,4,,,0.991832
1966 Nov. 16.70,39446.20350,To,E,15,26,01.780,-0.029,-,18,44,55.65,+1.61,0.988808
1966 Nov. 22.70,39452.20444,To,E,15,51,02.120,+0.047,-,20,8,36.82,+0.42,0.987543
1966 Nov. 23.70,39453.20463,Rh,E,15,55,14.966,+0.075,-,20,21,18.03,+0.08,0.987345
1966 Nov. 29.70,39459.20593,Cr,E,16,20,47.651,+0.062,-,21,29,18.14,-0.09,0.986264
1966 Nov. 30.70,39460.20618,To,E,16,25,05.702,+0.147,-,21,39,,,0.986102
1966 Dec. 9.70,39469.20873,To,E,17,4,15.378,+0.095,-,22,49,35.44,+1.24,0.984868
1966 Dec. 12.70,39472.20969,Du,E,17,17,27.980,+0.181,-,23,5,06.66,+0.22,0.984525
1966 Dec. 16.71,39476.21101,To,E,17,35,09.375,+0.138,-,23,19,20.80,+0.57,0.984116
1966 Dec. 19.71,39479.21204,Du,E,17,48,27.712,+0.121,-,23,25,08.71,-0.45,0.983852
1966 Dec. 25.71,39485.21411,Rh,E,18,15,06.397,+0.176,-,23,23,59.47,-0.03,0.983462
1966 Dec. 27.71,39487.21479,Gv,E,18,23,58.810,+0.098,-,23,19,51.64,-1.02,0.983380
1966 Dec. 29.71,39489.21547,Ga,E,18,32,50.726,+0.118,-,23,13,50.17,-0.56,0.983324
1966 Dec. 30.71,39490.21581,To,E,18,37,16.307,+0.055,-,23,10,08.28,-1.09,0.983306
1967 Jan. 5.71,39496.21775,Du,E,19,3,44.184,+0.082,-,22,38,12.46,+0.64,0.983318
1967 Jan. 6.71,39497.21806,To,E,0,19,08,,-,22,31,17.03,+1.69,0.983338
1967 Jan. 9.71,39500.21896,Rh,E,19,21,14.887,+0.071,-,22,7,54.96,+1.21,0.983420
1967 Jan. 11.71,39502.21953,Du,E,19,29,57.118,+0.044,-,21,50,10.17,+0.44,0.983494
1967 Jan. 18.72,39509.22128,Du,W,20,0,05.084,+0.123,-,20,34,50.98,+1.40,0.983880
1967 Jan. 23.72,39514.22228,To,W,20,21,14.659,+0.075,-,19,29,,,0.984299
1967 Jan. 24.72,39515.22246,Ga,W,20,25,26.270,+0.103,-,19,15,05.70,+0.31,0.984400
1967 Jan. 25.72,39516.22262,Rh,W,20,29,37.104,+0.154,-,19,0,30.24,+1.76,0.984506
1967 Jan. 26.72,39517.22277,Gv,W,20,33,47.025,+0.094,-,18,45,36.61,+0.70,0.984619
1967 Jan. 30.72,39521.22330,Gv,W,20,50,18.839,+0.041,-,17,42,37.23,+0.41,0.985133
1967 Feb. 1.72,39523.22351,Du,W,20,58,29.993,+0.063,-,17,9,,,0.985423
1967 Feb. 2.72,39524.22360,Rn,W,21,2,34.448,+0.148,-,16,52,00.22,+2.05,0.985574
1967 Feb. 3.72,39525.22368,To,W,21,6,37.929,+0.058,-,16,34,34.09,+0.24,0.985730
1967 Feb. 8.72,39530.22395,Du,W,21,26,43.869,+0.113,-,15,3,01.07,+1.06,0.986561
1967 Feb. 10.72,39532.22399,Gv,W,21,34,40.628,+0.107,-,14,24,34.44,+0.98,0.986913
1967 Feb. 16.72,39538.22390,Ga,E,21,58,12.283,+0.104,-,12,23,42.88,+0.47,0.988040
1967 Feb. 23.72,39545.22342,Du,E,22,25,06.196,+0.046,,,,,+2.00,0.989512
1967 Mar. 1.72,39551.22272,KI,E,22,47,45.202,+0.024,-,7,39,29.15,+0.09,0.990943
1967 Mar. 2.72,39552.22258,Gv,E,22,51,29.945,+0.099,-,7,16,37.85,+1.88,0.991195
1967 Mar. 3.72,39553.22244,Du,E,22,55,14.098,+0.061,-,6,53,42.77,+1.13,0.991449
1967 Mar. 8.72,39558.22165,To,E,23,13,48.507,+0.043,-,4,57,42.86,+0.77,0.992751
1967 Mar. 9.72,39559.22148,Gv,E,23,17,30.323,+0.165,-,4,34,17.74,+0.41,0.993015
1967 Mar. 10.72,39560.22130,To,E,23,21,11.546,+0.059,-,4,10,47.91,+1.24,0.993280
1967 Mar. 30.71,39580.21726,Ga,E,0,34,12.124,+0.022,+,3,41,22.24,+0.90,0.998810
1967 Mar. 31.71,39581.21705,Cr,E,0,37,50.519,+0.047,+,4,4,38.91,+1.07,0.999103
1967 Apr. 4.71,39585.21622,To,E,0,52,25.197,+0.037,+,5,36,57.83,+1.12,1.000278
1967 Apr. 12.71,39593.21468,To,E,1,21,43.899,+0.051,+,8,36,34.89,+0.96,1.002575
1967 Apr. 14.71,39595.21433,Du,E,1,29,06.251,+0.059,+,9,20,08.99,+0.18,1.003131
1967 Apr. 20.71,39601.21335,Gv,W,1,51,21.414,+0.029,+,11,26,58.22,+0.94,1.004762
1967 May. 5.71,39616.21175,To,W,2,48,10.461,+0.024,+,16,11,43.48,+0.93,1.008707
1967 May. 9.71,39620.21156,Du,W,3,3,40.334,+0.075,+,17,18,13.41,+0.30,1.009667
1967 May. 10.71,39621.21153,To,W,0,3,07,,+,17,34,08.36,+0.20,1.009897
1967 May. 12.71,39623.21149,Ga,W,3,15,23.769,+0.088,+,18,5,04.55,-0.46,1.010346
1967 May. 19.71,39630.21154,Du,W,,,,+0.026,+,19,43,34.24,1.04,1.011791
1967 May. 25.71,39636.21183,Ga,W,4,7,09.026,+0.037,+,20,54,53.18,-0.19,1.012922
1967 May. 26.71,39637.21190,Du,W,4,11,11.658,+0.117,,,,,-0.16,1.013102
1967 Jun. 7.71,39649.21314,To,W,5,0,17.515,+0.076,+,22,44,10.05,+0.08,1.014977
1967 Jun. 9.71,39651.21340,Du,W,5,8,33.622,+0.062,+,22,55,08.23,-0.14,1.015219
1967 Jun. 12.71,39654.21382,Du,W,5,20,59.595,+0.073,+,23,8,34.34,+0.19,1.015541
1967 Jun. 13.71,39655.21397,To,W,5,25,08.613,+0.061,+,23,12,13.49,-0.30,1.015637
1967 Jun. 20.71,39662.21501,Rh,W,5,54,14.589,+0.094,+,23,26,19.19,-0.78,1.016187
1967 Jun. 21.71,39663.21516,La,W,0,5,58,,+,23,26,41.58,-0.16,1.016250
1967 Jun. 22.71,39664.21531,La,W,6,2,33.643,+0.030,+,23,26,38.89,+0.13,1.016311
1967 Jul. 5.71,39677.21712,To,W,6,56,26.242,+0.023,+,22,48,42.40,+0.08,1.016734
1967 Jul. 6.71,39678.21724,Du,W,7,0,33.365,+0.124,+,22,42,57.95,+0.52,1.016730
1967 Jul. 7.71,39679.21736,La,W,0,4,40.029,+0.114,+,22,36,48.35,-0.49,1.016721
1967 Jul. 10.71,39682.21768,Se,W,0,7,16,,+,22,16,02.23,-0.30,1.016654
1967 Jul. 12.71,39684.21787,To,W,7,25,07.264,+0.070,+,22,0,16.00,-0.22,1.016580
1967 Jul. 21.71,39693.21844,Se,W,0,1,25.351,+0.096,+,20,31,01.25,-0.85,1.016018
1967 Jul. 31.71,39703.21845,To,W,0,40,52.027,+0.091,+,18,19,24.02,+0.20,1.015051
1967 Jul. 14.71,39717.21732,Rh,W,9,34,25.991,+0.073,+,14,25,45.89,-0.81,1.012893
1967 Jul. 28.71,39731.21497,Rh,W,10,26,13.637,+0.140,+,9,47,22.54,-0.49,1.010042
1967 Jul. 29.71,39732.21476,Rh,W,10,29,52.505,+0.170,+,9,26,08.87,-0.27,1.009819
