greenwich_date,jd_ephem,observer,clamp,ra_h,ra_m,ra_s,ra_o_minus_c,dec_sign,dec_deg,dec_min,dec_sec,dec_o_minus_c,distance_au
1970 Jul. 25.71,40793.21853,Rh,E,8,18,24.741,+0.053,+,19,38,41.01,-0.49,1.015684
1970 Jul. 27.71,40795.21853,Du,E,8,26,17.847,+0.004,+,19,12,07.48,-1.02,1.015491
1970 Jul. 28.71,40796.21852,Go,E,8,30,13.541,-0.007,+,18,58,22.94,-0.20,1.015387
1970 Jul. 30.71,40798.21848,Hd,E,0,38,03.190,+0.0,,,,,,
1970 Aug. 1.71,40800.21841,Rh,E,,,,,+,18,0,15.90,-0.51,1.014918
1970 Aug. 2.71,40801.21836,Go,E,8,49,43.111,+0.002,+,17,44,,,1.014789
1970 Aug. 5.71,40804.21819,Ga,W,0,1,17.575,0040,+,16,57,,,1014362
1970 Aug. 11.71,40810.21765,Hd,W,9,24,10.045,+0.062,,,,,-100,1013379
1970 Aug. 12.71,40811.21753,Cn,W,9,27,56.808,+0.149,,,,,,1013202
1970 Aug. 13.71,40812.21741,Ku,,0,9,31,,+,14,39,01,,
1970 Aug. 14.71,40813.21729,Jo,W,9,35,28.403,+0.120,+,14,20,37.77,-0.93,1012837
1970 Aug. 16.71,40815.21701,Go,W,,,,+0.115,,,,,,1.012462
1970 Aug. 18.71,40817.21671,Rv,W,0,9,50,,,,,,-1.28,10079
1970 Aug. 20.71,40819.21639,Jo,W,9,57,50.392,+0.071,+,12,25,39.25,-1.16,1.011687
1970 Aug. 21.71,40820.21623,Ки,W,10,1,32.334,+0.044,,,,,-134,1011488
1970 Aug. 22.71,40821.21605,Rh,W,10,5,13.965,0.151,+,11,45,42.49,,10187
1970 Aug. 25.71,40824.21550,Ga,W,10,16,15.920,+0.059,,,,,0.41,1.010642
1970 Aug. 29.71,40828.21471,Go,E,0,10,30,,,,,,44,1.009778
1970 Aug. 31.71,40830.21428,Cn,E,10,38,09.795,+0.107,,,,,-0.33,1.009313
1970 Sep. 1.71,40831.21407,Ga,E,10,41,47.496,+0.018,+,8,15,27.58,-1.54,1009074
1970 Sep. 5.71,40835.21317,Go,E,10,56,15.900,+0.131,+,6,47,21.85,-0.54,1.008081
1970 Sep. 6.71,40836.21294,Ku,E,10,59,52.251,+0.036,+,6,25,02.66,0.68,1.007824
1970 Sep. 8.71,40838.21246,Hd,E,11,7,04.520,+0.074,,,,,-0.92,1.007302
1970 Sep. 9.71,40839.21223,Ga,E,11,10,40.352,+0.082,+,5,17,29.68,-0.77,1.007037
1970 Sep. 11.71,40841.21174,Ho,E,11,17,51.487,+0.048,+,4,32,00.99,0.84,1.006503
1970 Sep. 12.71,40842.21150,Go,E,11,21,26.877,+0.066,,,,,-1.45,1.006235
1970 Sep. 13.71,40843.21125,Ku,E,11,25,02.085,+0.010,,,,,0.04,1.005065
1970 Sep. 15.71,40845.21076,Go,E,,,,+0.072,,,,,,1.005825
1970 Sep. 16.71,40846.21051,Hd,,,,,40.047,,,,,,
1970 Sep. 19.70,40849.20977,Rh,E,,,,+0.066,,,,,-0.76,1004344
1970 Sep. 20.70,40850.20952,Go,E,11,50,07.975,+0.083,+,1,4,10.75,-0.03,
1970 Sep. 21.70,40851.20927,Du,E,0,53,43.192,+0.032,+,0,40,51.87,40.29,1.003800
1970 Sep. 22.70,40852.20903,Rh,E,0,57,18.651,+0.116,+,0,17,29.87,-1.03,1.003527
1970 Sep. 24.70,40854.20854,Cn,E,12,4,29.730,+0.073,,,,,-0.72,1.002977
1970 Sep. 25.70,40855.20830,Hd,E,12,8,05.501,+0.055,-,0,52,37.42,-0.66,1.002699
1970 Sep. 26.70,40856.20807,Ku,E,12,11,41.496,+0.077,-,1,16,00.13,-0.14,1.002421
1970 Sep. 29.70,40859.20737,Hd,E,12,22,30.606,+0.027,-,2,26,08.73,-2.16,1.001574
1970 Oct. 1.70,40861.20692,Ga,E,0,12,29,,-,3,12,44.72,+0.07,1.001000
1970 Oct. 2.70,40862.20670,,E,12,33,22.036,+0.028,-,3,36,00.19,0.70,
1970 Oct. 3.70,40863.20648,Rh,E,12,36,59.800,+0.063,-,3,59,15.32,0.77,1000420
1970 Oct. 4.70,40864.20627,Go,E,12,40,37.839,0.040,-,4,22,26.00,0.61,1.000128
1970 Oct. 5.70,40865.20606,Du,E,12,44,16.219,+0.017,-,4,45,32.38,+0.56,0.999835
1970 Oct. 6.70,40866.20585,,,12,47,55.062,0103,,,,,,000
1970 Oct. 9.70,40869.20526,Go,E,12,58,53.659,+0.105,-,6,17,22.51,+0.66,0.998658
1970 Oct. 12.70,40872.20472,Hd,E,13,9,56.054,+0.042,-,7,25,22.93,+0.51,0.997784
1970 Oct. 13.70,40873.20455,Ga,E,13,13,37.870,+0.075,-,7,47,51.81,-0.02,0.997496
1970 Oct. 17.70,40877.20393,Ku,,13,28,30.424,+0.080,-,9,16,,,0.996365
1970 Oct. 18.70,40878.20379,Ku,E,,,,+0.086,-,9,38,,,06080
1970 Oct. 19.70,40879.20366,Du,E,13,36,00.271,+0.082,,,,,0.41,0.905813
1970 Oct. 24.70,40884.20312,Go,E,0,13,54,,-,11,46,39.00,-1.59,0.994460
1970 Oct. 25.70,40885.20304,Go,E,13,58,45.799,+0.100,,,,,0.70,0.994194
1970 Oct. 26.70,40886.20296,Ga,E,14,2,35.808,+0.037,-,12,28,00.83,-1.61,0.993928
1970 Nov. 8.70,40899.20281,Go,W,14,53,37.539,+0.030,-,16,35,41.82,-1.95,0.990562
1970 Nov. 16.70,40907.20350,Cn,W,15,26,10.572,+0.151,-,18,45,26.34,+0.23,0.988727
1970 Nov. 21.70,40912.20426,Rh,W,15,46,58.757,+0.129,,,,,+0.47,0.987721
1970 Nov. 22.70,40913.20444,Ku,W,15,51,10.803,+0.038,-,20,9,02.40,+0.11,0.987530
1970 Dec. 2.70,40923.20672,Hd,W,16,33,54.328,+0.115,-,21,58,14.63,-0.45,0.985795
1970 Dec. 4.70,40925.20727,Du,W,16,42,35.106,+0.135,-,22,15,10.27,-0.94,0.985483
1970 Dec. 5.70,40926.20756,Go,W,16,46,56.187,-0.003,-,22,22,55.88,+2.21,0.985334
1970 Dec. 9.70,40930.20875,Ku,W,17,4,26.174,+0.073,-,22,49,,,0.984783
1970 Dec. 10.70,40931.20907,Hd,W,17,8,49.781,+0.060,-,22,55,25.17,-0.17,0.984659
1970 Dec. 14.71,40935.21036,Du,,17,26,28.145,+0.164,-,23,13,,,0.984222
1970 Dec. 15.71,40936.21069,Go,W,17,30,53.415,+0.064,-,23,16,33.79,+0.33,0.984128
1970 Dec. 18.71,40939.21171,Du,W,17,44,11.056,+0.124,-,23,23,41.57,+0.98,0.983881
1970 Dec. 26.71,40947.21447,Rh,E,18,19,43.072,+0.145,-,23,22,03.75,-0.18,0.983445
1970 Dec. 27.71,40948.21482,Rh,E,18,24,09.445,+0.110,-,23,19,43.73,+0.16,0.983410
1970 Dec. 28.71,40949.21516,Du,E,18,28,35.669,+0.080,-,23,16,54.66,+1.37,0.983378
1970 Dec. 29.71,40950.21550,Ga,E,18,33,01.776,+0.127,-,23,13,40.34,-0.21,0.983350
1970 Dec. 30.71,40951.21584,Rh,E,18,37,27.587,+0.096,-,23,9,55.37,+0.90,0.983325
1971 Jan. 7.71,40959.21840,Cn,E,19,12,41.883,+0.153,-,22,23,34.75,+0.90,0.983289
1971 Jan. 8.71,40960.21869,Ga,E,19,17,04.087,+0.066,-,22,15,46.57,+0.53,0.983309
1971 Jan. 12.71,40964.21982,Du,E,19,34,27.807,+0.114,-,21,40,13.47,+0.11,0.983452
1971 Jan. 16.72,40968.22083,Ku,E,19,51,41.754,+0.128,-,20,57,58.25,-0.98,0.983695
1971 Jan. 18.72,40970.22129,Ku,E,20,0,14.660,+0.050,-,20,34,22.89,+0.67,0.983851
1971 Jan. 19.72,40971.22151,Ga,E,20,4,30.101,+0.049,-,20,22,02.50,-1.11,0.983936
1971 Jan. 20.72,40972.22172,Du,E,20,8,44.895,+0.118,-,20,9,,,0.984028
1971 Jan. 23.72,40975.22230,Go,E,20,21,24.594,+0.059,-,19,28,44.58,+0.15,0.984326
1971 Feb. 27.72,41010.22300,Rh,W,22,40,24.634,+0.068,-,8,23,44.64,+0.59,0.990485
1971 Feb. 28.72,41011.22287,Go,W,22,44,10.349,+0.009,-,8,1,06.69,+1.56,0.990720
1971 Mar. 1.72,41012.22274,Jo,W,22,47,55.647,+0.064,-,7,38,23.12,+1.24,0.990959
1971 Mar. 5.72,41016.22216,Ku,W,23,2,51.516,+0.067,-,6,6,26.74,+1.54,0.991930
1971 Mar. 6.72,41017.22200,Rh,W,0,23,06,,-,5,43,14.73,+1.38,0.992179
1971 Mar. 7.72,41018.22184,Rh,W,23,10,16.670,+0.086,-,5,19,57.55,+1.80,0.992432
1971 Mar. 9.72,41020.22149,Go,W,23,17,40.189,+0.115,-,4,33,12.71,+1.09,0.992946
1971 Mar. 10.72,41021.22132,,W,23,21,21.311,+0.051,-,4,9,46.37,-0.64,0.993208
1971 Mar. 12.72,41023.22095,Jo,W,23,28,42.633,+0.027,-,3,22,39.83,+0.95,0.993741
1971 Mar. 13.72,41024.22076,Rh,W,23,32,22.950,+0.118,,,,,+1.11,0.994012
1971 Mar. 16.72,41027.22018,Cn,W,23,43,22.033,+0.093,+,1,48,05.05,+0.04,0.994841
1971 Mar. 17.71,41028.21998,Go,W,23,47,01.228,+0.018,-,1,24,21.61,+1.17,0.995122
1971 Mar. 18.71,41029.21978,Ga,W,23,50,40.373,+0.071,-,1,0,37.48,+2.40,0.995405
1971 Mar. 21.71,41032.21916,Rh,W,0,1,36.738,+0.037,+,0,10,30.21,+1.28,0.996264
1971 Mar. 25.71,41036.21833,Jo,E,0,16,10.755,+0.165,+,1,45,08.59,+1.55,0.997415
1971 Mar. 27.71,41038.21791,Rh,E,0,23,27.344,+0.050,+,2,32,13.59,+0.27,0.997987
1971 Mar. 28.71,41039.21770,Rh,E,0,27,05.707,+0.064,+,2,55,42.15,+0.17,0.998271
1971 Mar. 30.71,41041.21728,Hd,E,,,,,+,3,42,28.20,-0.03,0.998836
1971 Mar. 31.71,41042.21707,Cn,E,0,38,00.987,+0.081,+,4,5,46.21,+1.09,0.999118
1971 Mar. 3.71,41045.21645,Rh,E,,,,,+,5,15,07.42,+0.82,0.999962
1971 Mar. 4.71,41046.21625,Rh,E,0,52,35.691,+0.041,+,5,38,03.94,+1.06,1.000244
1971 Mar. 5.71,41047.21604,,E,0,56,14.734,+0.083,,,,,-0.21,1.000526
1971 Mar. 7.71,41049.21564,Du,E,1,3,33.130,-0.029,+,6,46,14.08,-0.16,1.001091
1971 Apr. 8.71,41050.21545,Cn,E,1,7,12.783,+0.064,+,7,8,45.70,+1.25,1.001375
1971 Apr. 9.71,41051.21525,Ku,E,0,10,52.530,+0.020,+,7,31,08.56,+1.17,1.001659
1971 Apr. 10.71,41052.21506,Rh,E,0,14,32.604,+0.069,+,7,53,23.22,+0.45,1.001944
1971 Apr. 11.71,41053.21488,Rh,E,1,18,12.887,+0.048,+,8,15,30.20,-0.04,1.002229
1971 Apr. 12.71,41054.21469,Go,E,1,21,53.441,+0.007,+,8,37,30.31,+0.90,1.002515
1971 Apr. 13.71,41055.21451,Ku,E,1,25,34.372,+0.031,+,8,59,20.58,+0.52,1.002801
1971 Apr. 14.71,41056.21433,Ga,E,1,29,15.592,+0.015,+,9,21,02.73,+0.90,1.003088
1971 Apr. 15.71,41057.21416,Hd,E,1,32,57.205,+0.050,+,9,42,36.07,+1.60,1.003374
1971 Apr. 17.71,41059.21383,RH,E,1,40,21.496,+0.055,+,10,25,11.92,+1.10,1.003945
1971 Apr. 18.71,41060.21367,Rn,E,1,44,04.188,+0.019,+,10,46,14.52,+0.62,1.004230
1971 Apr. 19.71,41061.21351,Go,E,1,47,47.316,+0.011,+,11,7,08.44,+2.03,1.004514
1971 Apr. 20.71,41062.21336,Cn,E,1,51,30.896,+0.020,+,11,27,49.03,+0.95,1.004795
1971 Apr. 21.71,41063.21322,Go,E,1,55,14.909,+0.031,+,11,48,18.86,+0.34,1.005074
1971 Apr. 23.71,41065.21295,Jo,E,2,2,44.336,+0.085,+,12,28,44.71,+0.46,1.005625
1971 Apr. 24.71,41066.21282,Rh,E,2,6,29.734,+0.098,+,12,48,38.46,-0.36,1.005895
1971 Apr. 25.71,41067.21269,Rh,E,2,10,15.546,+0.046,+,13,8,21.42,+0.66,1.006163
1971 Apr. 30.71,41072.21216,Cn,W,2,29,12.296,+0.110,+,14,43,29.11,+0.16,1.007449
1971 Apr. 1.71,41073.21207,Rh,W,2,33,01.126,+0.090,+,15,1,47.90,+0.07,1.007698
1971 Apr. 3.71,41075.21191,Hd,W,2,40,40.341,+0.060,+,15,37,41.00,+0.59,1.008188
1971 May. 4.71,41076.21184,Ku,W,2,44,30.725,+0.027,+,15,55,15.29,+1.83,1.008430
1971 May. 5.71,41077.21178,Hd,W,2,48,21.712,+0.054,+,16,12,32.41,+1.76,1.008670
1971 May. 10.71,41082.21155,Du,W,3,7,44.795,+0.032,+,17,34,48.76,+0.72,1.009843
,41083.21152,Cn,W,3,11,39.166,+0.074,+,17,50,24.41,+0.57,1.010074
1171 May. 14.71,41086.21149,Jo,W,3,23,25.718,+0.142,+,18,35,,,1.010753
1171 May. 17.71,41089.21151,Ga,W,3,35,17.360,+0.032,+,19,17,35.13,+1.25,1.011411
1171 May. 18.71,41090.21153,Go,W,3,39,15.836,+0.097,+,19,30,58.43,-0.36,1.011625
1971 May. 19.71,41091.21156,Jo,W,3,43,14.811,+0.082,+,19,44,04.08,+0.27,1.011834
1971 May. 20.71,41092.21159,Cп,W,3,47,14.375,+0.079,+,19,56,48.90,+0.22,1.012040
1971 May. 31.71,41103.21237,Rh,E,4,31,43.808,+0.118,+,21,53,41.48,-0.22,1.013979
1971 Jun. 1.71,41104.21247,Hd,E,,,,+0.009,+,22,2,04.59,-1.40,1.014127
1971 Jun. 4.71,41107.21280,Jo,E,4,48,07.434,+0.014,,,,,+0.73,1.014549
1971 Jun. 5.71,41108.21292,Rh,E,4,52,14.335,+0.102,+,22,31,52.22,+1.27,1.014683
1971 Jun. 7.71,41110.21317,Ku,,5,0,28.818,-0.002,+,22,44,22.44,+0.27,1.014941
1971 Jun. 8.71,41111.21330,Ga,E,0,5,04,,+,22,50,01.14,-0.79,1.015065
1971 Jun. 9.71,41112.21343,Cn,E,5,8,44.592,+0.032,+,22,55,17.97,+0.23,1.015187
1971 Jun. 10.71,41113.21357,Hd,E,5,12,52.841,+0.025,+,23,0,08.93,-0.50,1.015305
1971 Jun. 11.71,41114.21370,Go,E,5,17,01.466,+0.153,+,23,4,37.11,+0.22,1.015420
1971 Jun. 14.71,41117.21413,Du,E,5,29,27.997,-0.042,+,23,15,32.24,-0.68,1.015746
1971 Jun. 17.71,41120.21458,Hd,E,5,41,56.183,-0.022,+,23,22,47.37,-0.10,1.016034
1971 Jun. 18.71,41121.21473,Jo,E,5,46,05.875,+0.059,+,23,24,23.56,+0.80,1.016120
1971 Jun. 20.71,41123.21503,Rh,E,5,54,25.321,+0.090,+,23,26,18.80,-0.06,1.016277
1971 Jun. 25.71,41128.21579,Cr,E,6,15,13.458,-0.024,+,23,23,54.68,+0.09,1.016561
1971 Jun. 27.71,41130.21608,Rh,E,6,23,32.140,+0.093,+,23,20,03.63,+0.06,1.016633
1971 Jul. 3.71,41136.21690,Ho,E,6,48,22.705,+0.018,+,22,58,43.28,+0.32,1.016728
1971 Jul. 4.71,41137.21703,Ho,E,6,52,30.235,+0.075,+,22,53,45.06,+0.20,1.016727
1971 Jul. 6.71,41139.21727,Cr,E,7,0,44.185,+0.080,+,22,42,37.19,-0.03,1.016716
1971 Jul. 7.71,41140.21738,Cn,E,7,4,50.518,-0.020,,,,,,1.016705
1971 Jul. 10.71,41143.21770,Ho,E,7,17,07.578,+0.044,+,22,15,40.10,-0.12,1.016651
1971 Jul. 12.71,41145.21788,Ku,E,0,7,25,,+,21,59,52.57,-0.57,1.016598
1971 Jul. 13.71,41146.21797,Hd,E,7,29,20.828,+0.079,+,21,51,25.50,+0.05,1.016566
1971 Jul. 16.71,41149.21819,Ho,E,7,41,29.906,+0.014,+,21,23,48.08,-0.03,1.016443
1971 Jul. 18.71,41151.21832,Ho,E,7,49,33.600,+0.050,+,21,3,32.82,-0.49,1.016335
1971 Jul. 22.71,41155.21849,,E,8,5,34.583,+0.085,+,20,18,48.41,-0.13,1.016050
1971 Jul. 23.71,41156.21851,Du,E,8,9,33.389,+0.067,+,20,6,45.11,-0.59,1.015964
1971 Jul. 26.71,41159.21855,Ku,E,0,8,21,,+,19,28,36.12,-1.29,1.015672
1971 Jul. 2.71,41166.21839,Cn,,8,48,48.216,+0.106,+,17,48,34.75,-0.62,1.014816
1971 Aug. 3.71,41167.21834,Hd,W,8,52,40.163,-0.019,+,17,33,06.52,+0.08,1.014677
1971 Aug. 5.71,41169.21821,,W,9,0,22.558,+0.091,+,17,1,17.93,+0.06,1.014390
1971 Aug. 6.71,41170.21814,Go,W,9,4,12.715,+0.016,+,16,44,59.42,+0.60,1.014243
1971 Aug. 9.71,41173.21788,Ho,W,9,15,39.851,+0.028,+,15,54,25.00,-0.53,1.013786
1971 Aug. 11.71,41175.21767,Hd,W,9,23,15.120,+0.081,+,15,19,24.85,-1.01,1.013467
1971 Aug. 17.71,41181.21690,Cr,W,9,45,47.930,+0.110,+,13,28,41.12,-0.35,1.012422
1971 Aug. 19.71,41183.21660,Go,W,9,53,14.702,+0.066,+,12,50,00.02,-0.10,1.012038
1971 Aug. 20.71,41184.21644,Ku,W,0,56,57.385,+0.079,+,12,30,20.30,-0.68,1.011838
1971 Aug. 23.71,41187.21593,Ku,W,10,8,02.507,+0.037,+,11,30,14.26,+0.60,1.011213
1971 Aug. 24.71,41188.21574,Cr,W,10,11,43.320,+0.039,+,11,9,48.52,-0.49,1.010996
1971 Aug. 25.71,41189.21556,Jo,W,10,15,23.768,+0.115,+,10,49,13.67,-0.28,1.010774
1971 Aug. 30.71,41194.21455,Ku,E,10,33,39.496,+0.027,+,9,3,51.23,-0.71,1.009613
1971 Aug. 31.71,41195.21434,Cr,E,10,37,17.532,+0.011,+,8,42,20.99,+0.40,1.009372
1971 Sep. 3.71,41198.21368,Jo,E,10,48,09.779,+0.032,+,7,36,57.59,-0.79,1.008639
1971 Sep. 4.71,41199.21345,Ho,E,10,51,46.594,+0.023,,,,,,1.008391
1971 Sep. 5.71,41200.21322,Rh,E,10,55,23.216,+0.076,+,6,52,46.02,-0.49,1.008143
1971 Sep. 6.71,41201.21299,Ho,E,10,58,59.572,+0.092,+,6,30,,,1.007894
1971 Sep. 7.71,41202.21275,Ku,,0,11,02,,+,6,8,07.14,-0.33,1.007644
1971 Sep. 8.71,41203.21251,Jo,E,11,6,11.631,+0.050,+,5,45,,,1.007393
1971 Sep. 10.71,41205.21203,Go,E,11,13,23.061,+0.030,+,5,0,22.14,-1.12,1.006887
1971 Sep. 14.71,41209.21106,Cn,E,11,27,44.761,+0.085,+,3,28,51.28,-0.86,1.005853
1971 Sep. 15.71,41210.21081,Ku,E,11,31,19.951,+0.036,+,3,5,48.30,-0.52,1.005589
1971 Sep. 16.71,41211.21056,Du,E,11,34,55.187,+0.061,+,2,42,41.37,-0.57,1.005322
1971 Sep. 25.70,41220.20836,Rh,W,12,7,13.687,+0.125,-,0,47,00.70,-0.09,1.002802
1971 Sep. 28.70,41223.20765,Du,W,12,18,01.832,+0.092,-,1,57,07.45,-0.02,1.001929
1971 Sep. 29.70,41224.20742,Go,W,12,21,38.258,+0.072,-,2,20,27.75,+0.24,1.001637
1971 Oct. 6.70,41231.20589,Cn,W,12,47,01.027,+0.098,-,5,2,55.38,-1.13,0.999610
1971 Oct. 7.70,41232.20568,Jo,W,12,50,39.933,+0.079,-,5,25,55.43,-0.91,0.999325
1971 Oct. 8.70,41233.20548,Cr,W,12,54,19.287,+0.086,-,5,48,,,0.999042
1971 Oct. 11.70,41236.20492,Rh,W,13,5,20.082,+0.106,-,6,57,11.20,+0.75,0.998198
1971 Oct. 12.70,41237.20474,Rh,W,13,9,01.309,+0.093,-,7,19,49.08,-0.59,0.997918
1971 Oct. 13.70,41238.20457,Hd,W,13,12,43.071,+0.105,-,7,42,19.56,-0.37,0.997637
,41239.20441,Cn,W,0,13,16,,,,,,-0.38,0.997357
1470 Oct. 15.70,41240.20425,Du,W,0,13,20,,-,8,27,01.76,-0.53,0.997076
1470 Oct. 19.70,41244.20368,,W,13,35,05.374,+0.123,-,9,54,57.57,-0.45,0.995952
1971 Nov. 4.70,41260.20267,Jo,E,14,36,42.296,+0.109,-,15,19,,,0.991601
1971 Nov. 5.70,41261.20268,Go,E,14,40,39.951,+0.188,-,15,37,35.42,+1.33,0.991354
1971 Nov. 8.70,41264.20277,Go,E,14,52,37.676,+0.112,-,16,31,18.69,-1.13,0.990633
1971 Nov. 12.70,41268.20304,Jo,,15,8,46.827,+0.125,-,17,38,57.30,+0.26,0.989715
1971 Nov. 13.70,41269.20313,Rh,E,15,12,51.230,+0.073,-,17,55,,,0.989491
1971 Nov. 14.70,41270.20323,Rh,E,15,16,56.639,+0.162,-,18,10,59.38,+0.08,0.989270
1971 Nov. 17.70,41273.20359,Du,E,15,29,17.753,+0.154,-,18,56,39.39,-1.04,0.988620
1971 Nov. 18.70,41274.20373,Cn,E,15,33,26.429,+0.085,-,19,11,10.49,+0.85,0.988408
1971 Nov. 21.70,41277.20421,Rh,E,15,45,57.647,+0.128,-,19,52,44.68,-0.02,0.987784
1971 Nov. 23.70,41279.20458,Go,W,15,54,22.448,+0.147,-,20,18,37.43,+1.13,0.987382
1971 Nov. 25.70,41281.20498,Rh,W,16,2,50.275,+0.132,-,20,43,02.66,-0.36,0.986992
1971 Nov. 26.70,41282.20519,Cr,W,16,7,05.302,+0.129,-,20,54,,,0.986804
1971 Nov. 28.70,41284.20564,Rh,W,16,15,37.482,+0.107,-,21,16,43.59,-0.34,0.986439
1971 Dec. 1.70,41287.20638,Hd,W,16,28,30.952,+0.079,-,21,46,48.04,-0.92,0.985930
1971 Dec. 2.70,41288.20664,Du,W,16,32,50.104,+0.080,-,21,55,58.10,+0.84,0.985772
1971 Dec. 4.70,41290.20718,Rh,W,16,41,30.351,+0.134,-,22,13,05.78,+0.70,0.985474
1971 Dec. 5.70,41291.20747,Rh,W,16,45,51.341,+0.136,-,22,21,,,0.985333
1971 Dec. 11.70,41297.20929,Rh,W,17,12,08.364,+0.091,-,22,59,20.09,-1.31,0.984595
1971 Dec. 13.70,41299.20993,Jo,W,17,20,57.696,+0.145,-,23,8,,,0.984385
1971 Dec. 16.71,41302.21094,Cn,W,17,34,14.100,+0.132,-,23,18,43.51,+0.63,0.984099
1971 Dec. 18.71,41304.21162,Rh,W,17,43,06.284,+0.117,-,23,23,15.23,-0.11,0.983927
1971 Dec. 19.71,41305.21196,Rh,W,17,47,32.693,+0.171,-,23,24,46.68,+1.70,0.983846
1971 Dec. 22.71,41308.21300,Cr,W,18,0,52.236,+0.077,-,23,26,39.06,-0.28,0.983625
1971 Dec. 23.71,41309.21335,Cn,W,18,5,18.891,+0.131,-,23,26,18.16,+0.83,0.983561
1971 Dec. 26.71,41312.21438,Rh,W,18,18,38.428,+0.172,-,23,22,,,0.983394
